PLAYER,K,H,M,T,FF,FA,HO,G,B,GA,D,ED,IED,I50,R50,CL,SP,CP,UCP,CM,FD,CS
Touk Miller,15.9,15.9,4.5,7.1,1.7,1.2,0,0.4,0.4,0.4,31.8,22.7,9.1,4.3,2.4,5.7,0.3,12.6,19.8,0.1,0.4,4.5
Jack Steele,14.1,15,4.7,8.4,2,1.5,0,0.6,0.4,0.5,29,20.5,8.5,4.8,1.7,6.3,0.7,13.8,15.1,0.3,0.5,4
Jarryd Lyons,16.5,11.7,5,6.5,1.5,0.5,0,0.5,0.3,0.8,28.2,18.7,9.5,4.5,1.3,6,0.4,13.5,14.1,0.4,1,3.3
Jack Macrae,16.3,17.5,4.2,4.8,1.7,1,0,0.2,0.2,1.2,33.8,25.7,8.1,5,1.9,6.8,0.2,13,21.2,0.1,0.6,3.2
Tom Mitchell,14.6,19.7,4.5,4.9,1.1,1.3,0,0.4,0.2,0.5,34.3,25.6,8.7,4.1,2.2,4.8,0,11.6,22.9,0,-0.2,3.7
Ollie Wines,15.3,16.8,4.2,4.5,1.5,0.8,0,0.4,0.6,0.6,32.1,22,10.1,5.2,1.6,5.9,0.3,14.6,17,0.5,0.6,4.6
Rory Laird,14.3,17.7,3.7,6,1.7,1.5,0,0.1,0.4,0.7,32,22.6,9.4,3.7,2.1,6.9,0.2,14.8,17.4,0.1,0.2,4.5
Christian Petracca,16.1,12.5,5.3,4.3,1,1.2,0,1.1,0.6,0.6,28.6,17.4,11.2,6.7,1.2,6.3,0.3,13.6,15.1,0.4,-0.3,5
Zach Merrett,15.7,15.9,4.2,4.7,1.8,1,0,0.2,0.3,0.9,31.5,23.6,7.9,5.5,2.4,3.7,0.5,8.8,22.6,0,0.8,3.9
Callum Mills,14.2,13.3,5.9,5.3,1.2,0.6,0,0.3,0.1,0.5,27.5,20.7,6.8,4.2,2.7,4.8,0.8,10.4,17.1,0.1,0.7,3.1
Cameron Guthrie,15.4,14.6,6,4.1,0.9,0.8,0,0.2,0.4,0.6,30,22.2,7.8,4,1.7,5.1,0.2,9.9,19.7,0.2,0.2,2.5
Sam Walsh,13.5,16.3,5.8,4.5,1.1,1.5,0,0.5,0.3,0.7,29.8,22.2,7.6,3.9,1.3,4.8,0.2,11.5,18.5,0.3,-0.4,3.6
Aaron Hall,21.2,6.8,7.5,2.2,0.4,0.2,0,0.1,0.3,0.4,27.9,21.2,6.8,2.9,7.4,0.5,1,4.1,19.5,0.2,0.2,3.3
Dayne Zorko,17.1,7.2,5.4,6.2,1.4,1.7,0,0.8,0.9,1.1,24.3,16.3,8,6.6,1.9,4.7,0.4,9.8,13.7,0,-0.3,4.6
Clayton Oliver,14.2,17.4,3.6,5.3,1.8,2,0,0.4,0.8,0.5,31.6,22.1,9.5,5.2,1.9,7.6,0.3,17.7,14.1,0.2,-0.1,5.2
Max Gawn,12.4,6,5.2,2.6,1.3,1.2,32,0.5,0.6,0.4,18.4,11.8,6.6,3.1,1.8,4.3,3.3,10.5,7.9,2.3,0.1,3.5
Ben Keays,15.9,12.2,3.7,6,1.2,1.5,0,0.5,0.4,0.5,28.1,18.4,9.7,5.4,2,5.6,0.2,11,15.6,0.1,-0.3,4.6
Marcus Bontempelli,15.5,11.7,4,5,1.8,1.4,0.3,1.2,0.7,1,27.2,18.7,8.5,6.6,1.8,5.5,1.5,11.3,17.2,0.7,0.5,4.9
Tim Taranto,15.5,11.4,5,5.4,1,1,0,0.5,0.6,0.3,26.9,17.3,9.6,4.2,1.7,4.3,0.4,10,15.8,0.2,0,5
Brodie Grundy,9.3,9.9,3.6,4.2,1.6,2.2,32.4,0.6,0.3,0.3,19.1,12.7,6.4,2.5,1.4,4,1.7,10.9,8.7,1,-0.6,4.6
Darcy Parish,14.5,15.8,4.2,3.9,0.5,0.4,0,0.4,0.3,0.9,30.3,21.9,8.4,6,1.3,7.4,0.1,13.2,17.5,0,0.1,3.5
Brayden Fiorini,14.8,11.2,5.8,5.2,0.8,0.7,0,0.2,0.2,0.3,26,18.8,7.2,3.3,2.7,4.4,0.7,10,16.7,0,0.1,4.4
Andrew Brayshaw,13.3,15.2,5.1,4.7,1.3,1.2,0,0.4,0.3,0.3,28.4,21.9,6.6,4,2.4,3.7,0.5,9,19.8,0,0.1,3.2
Josh Kelly,14.5,11.6,3.7,5.5,1,0.7,0,0.7,0.7,0.2,26.1,18.4,7.7,4.7,2.2,3.7,0.5,9.3,17.1,0,0.3,3
Jack Crisp,15.5,11.5,6.7,3.6,0.7,1.3,0,0.1,0.2,0.6,27,20.2,6.8,4.1,3.8,2.7,1.2,9.1,18.2,0.7,-0.6,4.2
Taylor Adams,13.9,13.4,3.3,5.6,2.1,1.1,0,0.1,0.1,0.2,27.3,17.8,9.5,4.5,1.1,7.1,0.2,13.6,13.6,0.2,1.1,5.7
Mitch Duncan,14.9,8.8,7.2,2.7,1.2,0.2,0,0.8,0.2,0.4,23.7,18.4,5.3,3.5,2.2,2.6,0.5,5.4,17.5,0,1,1.9
Jack Ziebell,20.3,5,7.4,2,0.8,0.7,0,0.1,0,0,25.2,21,4.2,0.9,7.2,0.4,2.5,5.1,13.4,0.7,0.1,2.8
Hugh McCluggage,17,8,5.1,3.7,1,0.8,0,0.6,0.9,1.3,24.9,15.8,9.1,4.5,2.2,3.5,0.1,8.7,16,0.1,0.1,3.5
Luke Parker,12.8,14.8,3.8,4.6,1.6,1.5,0,0.7,0.3,0.8,27.6,19.1,8.5,4.1,1.2,6.3,0.5,13.3,13.9,0.4,0.2,4.2
Ben Cunnington,13.5,13.3,4.1,4.9,2,2.1,0,0.6,0.5,0.5,26.8,18.8,8,3.6,1.5,7.5,0.3,15.6,11.6,0.4,-0.1,4.6
Karl Amon,15.6,8,6,4,0.7,0.8,0,0.5,0.8,0.5,23.6,17.1,6.5,4.6,2.4,1.9,0.5,4.8,18.4,0,-0.1,3.1
Sam Docherty,18,6.3,7.6,2.2,1.1,0.3,0,0,0,0.2,24.3,19.5,4.8,2.1,5.5,1.4,1.6,5.9,16.6,0.4,0.9,2.6
Jake Lloyd,18.4,9.8,5.8,1.9,0.7,0.9,0,0,0,0.2,28.2,24.7,3.6,1.9,6.6,0.4,1.7,4.1,18.2,0.1,-0.2,2.4
Daniel Rich,21.6,4.5,5.8,1.6,0.5,0.5,0,0.1,0.4,0.2,26.1,20.6,5.5,3,7.7,1.1,1.7,5.5,15.2,0.4,0.1,2.7
Travis Boak,13.2,14.6,2.8,4.8,1.6,1,0,0.4,0.6,0.9,27.8,19.4,8.4,4.1,1.2,6.2,0.1,13,15,0.1,0.6,3.9
Andrew Gaff,16.3,11.1,6.6,1.7,0.8,0.8,0,0.1,0,0.6,27.5,21.1,6.3,3.7,1.8,2.9,0.4,7.3,20,0.2,0,3
Tom Stewart,18.9,5.1,8.9,1.1,0.8,0.7,0,0,0.2,0.2,24,20.4,3.7,1.8,6.1,0.3,3.1,5.8,14.9,1.2,0.2,2.3
Jaeger O'Meara,12.9,13.4,4.1,5.1,0.9,1.7,0,0.3,0.5,0.3,26.3,18.6,7.7,4.4,2.1,6.1,0.4,11.8,14.9,0.2,-0.8,3.9
Paul Seedsman,15.8,10.3,5.4,2.3,0.8,0.8,0,0.5,0.6,0.6,26.1,19,7.1,5.7,2.8,2,0.4,6.1,19.8,0.1,0,3.4
Jy Simpkin,14.8,12.1,4.4,3.8,1.5,1.3,0,0.1,0.2,0.6,26.9,18.9,8,4.7,1.3,5.1,0.4,10.7,16.4,0.1,0.3,4.5
Brad Crouch,12.4,14,2.8,5.5,1.2,1.2,0,0.4,0.3,0.3,26.4,17.3,9.1,3.2,1.6,4.9,0.1,11.2,14.3,0,-0.1,4.4
Lachie Whitfield,16.5,8.2,6.5,2.2,0.9,0.5,0,0.2,0.1,0.6,24.7,18.5,6.1,2.7,3.3,1.5,0.8,5.5,17.8,0.1,0.4,3.2
Dyson Heppell,14.7,10.1,6.9,2.6,0.8,0.7,0,0.1,0.1,0.3,24.8,20.1,4.7,2.4,3.9,0.6,1.6,6.2,17.5,0.4,0.2,2.3
Luke Dunstan,14.1,11.2,4.3,4.9,1.5,1.6,0,0.1,0.3,0.2,25.3,16.7,8.6,5,0.9,5.8,0.3,11.2,13.9,0,-0.1,4.2
Lachie Neale,12.3,13.5,3.7,4.2,2,0.9,0,0.5,0.3,0.5,25.7,18.9,6.9,4.3,1.5,6.1,0,11.9,13.5,0,1.1,3.1
Brandon Ellis,15.2,8.3,7.2,2.6,0.6,0.9,0,0.3,0.1,0.4,23.5,17.8,5.7,2.7,2.6,1.7,0.6,6.2,17.6,0.1,-0.3,3.2
Sean Darcy,7.4,9.2,4.3,3,1,1.9,28.5,0.6,0.6,0.2,16.6,11.4,5.2,2.8,0.7,4.7,1.6,11,6.1,1.9,-0.8,3.5
Jack Redden,11.6,13.1,5.7,3.9,1.1,0.7,0,0.2,0.1,0.2,24.6,18.6,6,2.7,1.1,3.9,0.2,9.6,15.6,0.4,0.4,2.9
Jayden Short,18.7,6,6.1,1.8,0.8,0.4,0,0,0.1,0.1,24.6,20,4.6,2.3,6.9,0.5,0.8,3.9,16.5,0,0.4,2.6
Isaac Smith,15.8,7,7.3,1.7,0.3,0.5,0,0.6,0.3,0.5,22.8,17.1,5.6,4,3.7,0.8,0.5,3.5,17.7,0.2,-0.2,3
Christian Salem,16.5,8.7,6.2,2.2,0.6,0.9,0,0.1,0.1,0.3,25.2,19.4,5.8,2.1,5.6,1,0.8,5.5,17.5,0.1,-0.3,2.8
Josh Dunkley,8.5,15.7,4.1,5,0.7,0.6,0,0.5,0.6,0.4,24.3,18.6,5.6,2.3,0.8,3.9,1.1,9.6,15.5,0.3,0.1,2.3
Dom Sheed,14.5,11.7,4.9,2.3,1.2,1.2,0,0.4,0.3,0.4,26.2,17,9.2,3.8,1.9,5.2,0.4,10.5,16,0,0,4.8
Tom Liberatore,11.3,12.5,2.4,5.4,1.4,1,0,0.6,0.6,0.3,23.8,17.1,6.7,4.4,1.3,7.9,0.1,13.6,11,0.1,0.4,3.2
Rowan Marshall,10.5,5.1,4.8,3,1.4,1,18.5,0.7,0.4,0.2,15.6,9.8,5.8,2.4,0.8,2.5,1.5,10.2,6,2.1,0.4,2.7
David Swallow,12.3,9.6,5,4.7,0.8,1.1,0,0.3,0.3,0.2,21.9,15.4,6.5,2.7,1.9,2.7,0.3,8.6,13.7,0.4,-0.4,3.2
David Mundy,11.3,13.9,3.1,4,0.8,1,0,0.7,0.3,0.5,25.1,18.2,7,4.4,1.2,5.3,0.3,11.1,14.9,0.1,-0.1,3.2
Ed Curnow,14.5,8.1,4.8,3.6,0.6,1,0,0.5,0.1,0.7,22.5,15,7.5,4.3,1.3,3.1,0.3,7.5,14.5,0,-0.4,3.1
Jacob Hopper,13.8,12.7,3.1,3.4,1.2,1.7,0,0.5,0.2,0.4,26.5,18,8.4,4.4,1.9,6.6,0.3,12.2,14.6,0,-0.5,4.6
Josh P. Kennedy,10.5,13.5,3.6,4.8,0.9,0.6,0,0.2,0.3,0.5,24,17.5,6.5,3.2,1,5.3,0.1,11,12.9,0.1,0.3,2.4
Jordan Dawson,15.5,7,5.4,2.8,1,1,0,0.4,0.3,0.2,22.5,17.8,4.7,2.8,5.1,0.6,3.3,6.3,13.8,1,0,2.6
Zak Jones,12.5,10.8,3.8,4.4,1.2,1,0,0.3,0.2,0.6,23.4,17.8,5.6,4.3,1.5,4.3,0.2,8.5,15.5,0.1,0.2,2.8
Steele Sidebottom,13,10.9,5.4,3,0.7,1.1,0,0.4,0.2,0.5,23.8,17,6.8,3,1.3,3.2,0.3,7.9,16,0,-0.5,3.9
Chad Wingard,12.4,9.9,3.6,3.9,1.2,0.5,0,0.8,0.7,1.2,22.3,15.1,7.2,4.8,0.8,3.2,0.4,8.4,14.1,0.3,0.7,2.5
Jack Viney,9.9,10.8,2.3,7.4,1.4,1.3,0,0.3,0.6,0.4,20.7,12.3,8.3,3.8,0.7,4.3,0.6,10.3,10.5,0,0.2,4.3
Alex Witherden,18.4,3.8,6.6,2,0.6,1.3,0,0.1,0,0,22.2,17.2,5,1.3,6.3,0.3,1.1,3.9,12.6,0.1,-0.8,2.9
Shannon Hurn,17.3,4.5,6.9,1.7,0.6,0.3,0,0,0,0.1,21.8,19.1,2.7,1.6,6,0.2,1.3,4.2,11.5,0.9,0.3,1.9
Hugh Greenwood,10.2,7.3,1.7,8.6,1.1,0.5,0.5,0.4,0.4,0.7,17.5,11.3,6.2,2.7,1.3,6.2,0.7,12.1,5.2,0.4,0.6,2.2
Luke Shuey,14.9,8.1,3.3,4.3,2.6,1,0,0,0.1,0.6,23,16.9,6.1,5,1.1,6.3,0.3,9,13.1,0,1.6,3.4
Joel Selwood,12,11.6,3.2,4.5,2.4,1.2,0,0.2,0.2,0.9,23.7,17.5,6.1,3.7,1,5.2,0.2,11.4,13.1,0.1,1.1,3.5
Bailey Smith,13.1,10.4,3.9,3.5,0.9,0.7,0,0.4,0.5,0.5,23.5,17.3,6.2,3.5,1.6,3.1,0.2,7.4,16.3,0.1,0.1,3.4
Luke Ryan,17.5,4.3,7.2,1.8,0.7,1,0,0,0,0.1,21.8,18.6,3.2,0.8,7.9,0.3,3.1,4.6,12.4,0.6,-0.3,2.4
Adam Cerra,13.9,9.2,5.2,2.6,1.2,0.7,0,0.3,0.6,0.8,23.1,15.9,7.2,5,1.6,3.6,0.6,8,15.3,0.1,0.5,3.3
Adam Treloar,11.3,12.3,3.2,4.1,0.5,0.8,0,0.7,0.5,0.6,23.6,16.9,6.7,4,1,3.5,0.4,8.8,14.5,0.1,-0.2,3.2
Caleb Daniel,13.5,11.4,4.1,2.5,0.8,0.5,0,0.3,0,0.4,25,20.1,4.9,1.7,4.1,2.1,0.6,7,16.1,0.2,0.2,2.9
Patrick Dangerfield,12.7,10.2,4.8,3.1,1.5,1.4,0,0.6,0.5,1.2,22.9,15.6,7.3,5.1,1.2,5.6,0.8,12.6,10.5,1.2,0.2,4.5
Sam Menegola,14.1,9,5.7,2,0.6,0.9,0,0.5,0.5,0.6,23.1,16.7,6.5,3.6,2.1,2.6,1.2,7.9,15.2,0.3,-0.4,3.3
Kyle Langford,11.9,8.9,5.8,3.4,0.6,1.1,0.1,0.8,0.2,0.4,20.8,14.9,5.9,3.2,1.1,2,0.8,6.6,14.4,0.5,-0.4,3.2
Nic Newman,14.2,5.4,6.1,3.9,1.3,0.8,0,0,0.1,0.3,19.6,15.9,3.8,1.1,4.5,0.4,1.7,5.6,10.6,0.4,0.5,2.4
Jarrod Witts,8,5.7,3,2.7,2,0.3,30,0,0.3,0,13.7,9,4.7,1.7,1,4,1.7,8,4.3,1.3,1.7,2.3
Reilly O'Brien,6.9,7.8,3.6,2.8,1.3,1,29.4,0.1,0,0.2,14.7,10.1,4.7,1.9,1.3,3.7,2.4,9.6,5.1,1.9,0.3,2.7
Isaac Cumming,16,6.3,5.6,2.5,0.5,0.8,0,0,0.2,0,22.3,18.2,4.1,1.7,6,0.7,2.3,5.7,12,0.9,-0.2,2.6
Jack Lukosius,17.4,2.7,7.8,1.5,0.6,0.9,0,0.1,0.5,0.4,20.1,14.8,5.3,4,5.8,0.3,1.1,3.6,13.6,0.5,-0.3,3.3
Matthew Kennedy,11.5,8.4,5,4.5,0.9,0.8,0,0.5,0.2,0.1,19.9,13.7,6.3,3.8,1.1,3.4,0.3,7.7,12.1,0.5,0.1,3.1
Todd Goldstein,7.3,7,3.6,1.9,1.6,1.1,29.6,0.5,0.2,0.3,14.3,10.8,3.5,2.5,0.4,3.5,3.3,7.2,7.4,0.6,0.5,2.5
Jarman Impey,13.9,8.2,5.4,2.5,1.2,0.3,0,0.2,0,0.2,22.2,17.4,4.8,2.1,3.6,0.8,2,4.9,17,0.5,0.8,1.8
Scott Lycett,7.5,7.7,2.9,3.7,1.1,1.9,26.5,0.3,0.3,0.3,15.2,10.6,4.6,2.6,1,3.3,2.8,8.2,7.2,0.2,-0.8,3.3
Rory Sloane,11,11.3,3.7,4.8,1.3,0.9,0,0.2,0.1,0.5,22.3,15.7,6.6,3.7,1.6,5.4,0.9,12,9.8,0.3,0.4,2.9
Harry Perryman,14.6,7.6,5.3,2.3,0.5,0.3,0,0.3,0.3,0.3,22.3,16.6,5.7,2.3,4.8,1.1,1.1,6.6,14.1,0.6,0.2,2.6
Lachie Hunter,13,9.1,5.2,2.4,1.3,0.4,0,0.4,0.2,1,22.1,16,6.1,3.9,1.2,1.7,0.8,5.6,16.3,0,0.9,2.2
Ed Langdon,13.4,8.8,5.5,1.9,0.7,0.4,0,0.5,0.3,0.2,22.2,16.1,6.1,2.8,2.1,1,0.6,5.8,16.2,0.2,0.3,2.6
Nic Naitanui,7,8.2,1.5,2.9,1.4,0.8,31,0.1,0.3,0.5,15.2,9.6,5.6,3.5,0.7,7.2,2,12.5,3.4,1,0.6,2.5
Toby Greene,13.1,4.5,4.5,2.1,1.7,1.5,0.1,2.5,2.4,0.9,17.6,9.5,8.1,4.1,0.2,1.2,0.4,8.6,9.3,1.4,0.2,3.7
Jaidyn Stephenson,13.1,6.3,5.7,2.5,0.8,0.5,0,0.9,1,0.4,19.4,12.8,6.5,3.9,1.2,1.6,0.6,5.1,13.9,0.2,0.3,2.8
Andrew McGrath,11.6,11.6,2.9,4.5,1.1,0.7,0,0.1,0.3,0.4,23.1,16.6,6.6,2.8,1.6,4.2,0.9,9.2,14.2,0,0.4,2.8
Nat Fyfe,10.3,13.8,3.9,4.1,1.2,2.3,0,0.4,1.4,0.6,24.1,17,7.1,3.2,1.1,5.9,0.5,13.4,11.1,1.1,-1.1,4.7
Nick Hind,16.6,5.8,5.2,2,0.9,0.9,0,0.2,0.1,0.6,22.4,17.7,4.6,3.3,3.7,0.9,1.2,5.8,16.5,0.3,0,3
Scott Pendlebury,10.9,12.2,3.7,3.8,0.7,0.6,0,0.2,0.2,1.1,23.2,17.2,5.9,3.2,1.3,4.4,0.6,10,13.2,0.2,0.2,3.3
Tim Kelly,12.9,11,3.3,3.4,0.7,0.9,0,0.3,0.4,0.8,23.9,16,7.9,4.3,1.3,5.3,0.2,10.6,13.8,0.1,-0.2,3.6
Jordan De Goey,12.6,8.5,5.4,1.9,0.6,0.9,0,1.2,1.2,0.7,21,14.5,6.5,3.5,1.2,3,0.2,7,14.4,0.5,-0.3,3.1
Liam Shiels,11.6,9.5,4.4,4.8,0.8,1.5,0,0.2,0.2,0.4,21.1,15,6.2,3.8,1,2.1,0.4,6,14.8,0.1,-0.7,3.3
Zach Tuohy,15.4,7.2,5.4,1.3,0.4,0.8,0,0.6,0.4,0.2,22.6,18,4.6,2.7,4.4,1.2,0.3,5.4,14.3,0.2,-0.4,2.5
Callan Ward,11.7,11.2,3.9,3,1.5,1,0.2,0.6,0.2,0.4,22.9,17.5,5.4,3.1,1.7,4.3,0.6,9.3,14.3,0.3,0.5,2.1
Bailey Dale,17.3,7.2,3.9,1,0.4,0.5,0,0.4,0,0.4,24.5,19.6,4.9,2.7,5.3,0.9,1.7,5.1,14.3,0.4,-0.1,2.3
Toby Nankervis,7.1,9.6,3.1,3.6,1.4,1.8,22.6,0.1,0.3,0.1,16.8,10.1,6.7,2.1,1.6,4.3,3.1,10.3,6.3,0.5,-0.4,4.4
Jack Billings,12.1,7.9,6.3,1.9,0.8,0.6,0,0.8,0.8,0.5,20,14.7,5.3,3.2,1.7,1,0.5,5.4,14.7,0.2,0.2,2.3
Elliot Yeo,12.5,9.5,2.3,5.3,1.7,1.7,0,0.3,0.6,0.3,22,14,8,5.3,0.7,6.9,0.2,13.3,9.5,0.2,0,4.1
Caleb Serong,12.7,10.2,3,3.3,1,0.5,0,0.4,0.5,0.4,22.9,15.4,7.5,4.1,1.3,4.8,0.1,9.3,13.6,0.1,0.5,3.2
James Harmes,8.7,12.9,3,5.4,1.3,1.5,0,0.4,0.6,0.3,21.7,15.1,6.6,3.4,1.4,3.2,0.5,9.1,13.3,0.2,-0.3,3.8
Tom Hickey,9.1,7.5,2.8,2.3,1.3,1.8,23.6,0.5,0.3,0.3,16.6,11.1,5.5,3.1,1.2,4.9,3.4,10.4,6.8,0.5,-0.6,3.6
Patrick Cripps,8.2,15.3,3.2,4.3,2.3,2.3,0.2,0.7,0.6,0.6,23.4,16.5,6.9,3.2,0.6,5.3,0.5,12.3,11.5,0.6,0.1,5
Luke Davies-Uniacke,11.5,10.5,4.9,3.2,0.6,1.4,0,0.3,0.6,0.4,22,16.2,5.8,4.2,1.5,4.5,0.3,9.6,13.9,0.2,-0.8,3.6
Brayden Maynard,15.3,5.7,5.5,2.6,0.7,1.2,0,0,0,0.1,21,16.9,4.1,1.9,4.8,0.5,3.1,5.1,13.6,0.5,-0.5,3
Blake Hardwick,15.6,5.3,5.4,2.1,1.1,0.5,0,0,0.1,0.1,20.9,17.5,3.4,1.4,6,0.7,3.1,5.1,13.6,0.3,0.6,1.9
Dustin Martin,12.5,10.1,2.9,2.3,0.6,0.8,0,1.2,0.4,1,22.6,14.8,7.9,5.3,0.2,3.6,0.3,9.4,13.1,0.6,-0.2,3.4
Tarryn Thomas,11.1,7.1,4.6,3.4,1.4,0.9,0,1.1,0.8,0.7,18.2,13.4,4.8,4.2,1.1,2.7,0.7,7.7,10.9,0.4,0.5,3.3
Dion Prestia,10.3,11.9,3.2,4.1,1.9,0.9,0,0.1,0.3,0.1,22.2,16.8,5.4,3,1.9,4.2,0.2,9.1,13.7,0,1,3.3
Noah Anderson,13.2,9.5,4.2,3,0.6,1,0,0,0.3,0.2,22.7,15.6,7.1,2.9,2.1,4.1,0.5,8.9,14.5,0.1,-0.4,3.4
Jack Bowes,16.2,5.1,5.1,2,0.5,0.8,0,0.1,0.1,0.1,21.3,15.6,5.7,2.1,4.7,0.8,2.4,5.1,12.5,0.3,-0.3,2.8
Jake Stringer,11.1,5.7,2.9,3.8,1.6,1.2,0,2.2,0.9,0.7,16.8,11,5.8,4.9,0.3,4.5,0.2,8.8,8.3,0.4,0.4,3.4
Tim English,7.3,5.8,5.2,2.8,1,1.2,15.6,1.1,0.7,0.2,13.1,9.5,3.6,1.3,0.7,1.7,2.3,6.2,6.9,1.7,-0.2,2.4
Ben McEvoy,6.1,6.4,5,3.5,1.3,0.6,16.9,0.5,0.4,0.4,12.5,9.5,3,1.2,0.8,2,3,6.7,6.5,1.6,0.6,2
Jordan Ridley,15.6,5.7,6,1.2,0.8,0.6,0,0,0,0,21.3,18.8,2.5,0.9,6.2,0,4.9,5,11.5,1.1,0.1,1.9
Dan Houston,13.8,7.1,4.6,2.5,0.4,0.6,0,0.3,0.3,0.7,20.9,16.2,4.7,3,2.7,1.2,0.9,6.2,14.2,0.3,-0.2,2.7
Lachie Weller,10.5,8,5.5,3.5,0.4,0.6,0,0.5,0.2,0.4,18.5,13.2,5.3,3.3,2.2,1.8,0.2,5.2,13.5,0,-0.2,2.8
Sebastian Ross,11.3,9.8,4.6,3.1,0.6,0.6,0,0.3,0.4,0.4,21,15.1,6,3,1.8,3,0.6,6.8,14.2,0.1,0,2.6
Jack Scrimshaw,12.5,8.2,6.4,1.5,0.4,0.2,0,0.2,0.1,0.4,20.6,17.3,3.3,1.7,3.5,0.9,1.2,5,14.6,0.7,0.3,1.7
Jed Anderson,9.3,9.6,3.1,5.7,0.7,1.3,0,0.6,0.1,0.6,18.9,12.7,6.1,2.4,1,2.7,0.1,8.3,11.1,0.1,-0.6,4
Brodie Smith,15.8,4.8,5.1,1.8,0.4,0.4,0,0.1,0.2,0.2,20.6,16.1,4.5,3.5,6.6,1,1.6,4.3,13.2,0.2,0,2.5
Jack Sinclair,13.4,7.8,4.9,2.3,0.4,0.5,0,0.1,0.1,0.5,21.1,16.1,5,2.5,3.8,1.4,1,6.6,14.4,0.2,0,2.4
Daniel Howe,13.1,6.5,5.7,2.1,0.9,0.9,0,0.4,0.3,0.3,19.6,14.6,5.1,2.2,2,1.2,0.6,5.7,14.1,0.3,0.1,3.2
Shaun Higgins,9.9,10.8,5,3.1,0.6,0.9,0,0.3,0.8,0.7,20.7,15.7,4.9,2.9,0.7,2.1,0.2,5.5,15.6,0,-0.3,2.5
