Team,Playerÿÿ,Pos. ,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,RBÿÿ,IFÿÿ,CLÿÿ,CGÿÿ,FFÿÿ,FAÿÿ,CPÿÿ,UPÿÿ,CMÿÿ,MIÿÿ,1%ÿÿ,BOÿÿ,GAÿÿ,Disp. Ave.,AFLF
ADE,"Laird, Rory",,22,314,82,390,3,8,,130,47,81,150,98,38,33,326,383,2,3,16,4,15,32,111.5
ADE,"Keays, Ben",,22,350,82,269,12,8,,133,44,119,122,103,26,33,241,344,2,7,29,4,11,28.13636364,107.8636364
ADE,"Seedsman, Paul",,22,347,118,227,12,13,,51,61,125,44,74,18,18,135,436,2,2,15,31,14,26.09090909,95.54545455
ADE,"Smith, Brodie",,21,332,107,101,2,4,,38,138,74,22,52,9,8,92,276,6,2,46,5,4,20.61904762,79.61904762
ADE,"Schoenberg, Harry",,22,230,62,175,10,9,,79,26,78,67,79,16,32,163,247,1,8,19,4,9,18.40909091,69.59090909
ADE,"Sloane, Rory",,18,198,67,204,3,2,,87,28,67,96,52,24,17,216,177,5,2,50,2,9,22.33333333,85.77777778
ADE,"Doedee, Tom",,21,203,100,145,1,1,,47,91,20,6,55,19,22,142,182,30,1,142,4,1,16.57142857,64.14285714
ADE,"Sholl, Lachlan",,19,208,78,126,3,7,,21,38,49,23,34,7,5,83,247,3,3,8,5,6,17.57894737,63.73684211
ADE,"Kelly, Jake",,20,214,102,95,,,,42,64,20,4,44,21,17,92,199,11,,74,,,15.45,63.8
ADE,"OBrien, Reilly",,20,138,71,156,2,,585,55,26,38,77,53,25,20,191,101,38,3,74,,4,14.7,86.05
ADE,"McHenry, Ned",,21,120,54,138,11,7,,65,5,27,13,67,21,37,107,168,5,13,23,2,9,12.28571429,49.57142857
ADE,"McPherson, Andrew",,18,156,54,88,,,,29,55,20,6,38,8,7,56,151,4,,28,1,5,13.55555556,50.5
ADE,"Rowe, James",,19,123,41,118,15,11,,35,4,34,9,33,18,9,91,155,2,8,7,1,7,12.68421053,50.52631579
ADE,"Mackay, David",,18,147,42,93,6,6,,40,24,36,16,29,16,7,75,160,2,5,14,8,6,13.33333333,52.77777778
ADE,"Butts, Jordon",,22,151,84,80,,,,30,67,13,,44,23,17,82,150,12,,132,,,10.5,43.5
ADE,"Walker, Taylor",,17,155,90,72,48,29,40,23,1,40,18,47,20,21,135,97,33,44,23,,12,13.35294118,75.58823529
ADE,"Lynch, Tom",,12,129,64,86,8,9,,15,6,28,11,24,13,8,63,150,5,9,12,,10,17.91666667,71.41666667
ADE,"Jones, Chayce",,15,128,43,58,1,3,,19,41,18,2,38,6,15,53,115,5,,30,2,1,12.4,45
ADE,"Murphy, Lachlan",,15,100,25,76,9,15,,34,3,31,21,27,22,9,91,87,,5,13,1,5,11.73333333,48.46666667
ADE,"Hamill, Will",,17,94,27,79,,,,35,24,14,7,28,18,8,78,96,4,,22,,1,10.17647059,38.52941176
ADE,"Berry, Sam",,17,60,27,94,5,9,,69,3,28,17,31,12,17,89,76,4,3,19,,6,9.058823529,42.64705882
ADE,"Thilthorpe, Riley",,14,94,44,58,18,10,25,19,2,14,8,32,10,14,88,69,16,17,32,,4,10.85714286,51.21428571
ADE,"Brown, Luke",,11,99,39,43,,,,26,47,12,3,16,8,2,39,86,1,1,28,,1,12.90909091,55.09090909
ADE,"Fogarty, Darcy",,17,95,53,42,24,12,1,21,,34,5,28,19,16,73,71,15,28,19,,6,8.058823529,43.52941176
ADE,"McAdam, Shane",,15,79,56,48,25,11,,34,1,16,4,38,14,21,61,68,13,28,13,1,6,8.466666667,49.93333333
ADE,"Frampton, Billy",,10,64,50,33,2,11,24,8,17,7,2,21,4,7,38,59,15,12,25,,1,9.7,47
ADE,"Murray, Nick",,13,70,29,20,1,1,1,18,29,9,1,20,13,10,42,46,6,2,82,,,6.923076923,30.76923077
ADE,"Himmelberg, Elliott",,8,42,25,29,8,6,14,8,1,15,1,18,10,7,52,27,14,9,17,,2,8.875,43.5
ADE,"Cook, Brayden",,3,22,6,20,,,,3,2,5,2,4,,1,13,29,,,,1,,14,44.33333333
ADE,"Davis, Ben",,4,20,10,15,,,,3,2,3,,2,3,1,13,22,1,,3,1,,8.75,33
ADE,"Hately, Jackson",,3,18,7,17,,2,,12,2,4,2,8,1,1,10,25,,2,,,1,11.66666667,52.33333333
ADE,"Strachan, Kieran",,2,13,7,16,,2,59,3,1,5,5,9,,6,14,18,2,1,6,,,14.5,73.5
ADE,"Pedlar, Luke",,2,14,4,5,,,,1,1,5,3,6,1,1,5,14,,,1,,,9.5,33
ADE,"OConnor, Ronin",,3,3,2,14,,,,8,,2,2,4,,2,6,12,,,,,,5.666666667,23
ADE,"Gollant, Lachlan",,1,7,3,4,1,1,,1,,3,,3,1,,6,5,1,2,,,,11,50
ADE,"Hinge, Mitch",,1,6,3,1,,,,,2,1,,1,1,,2,5,1,,1,,,7,30
ADE,"Worrell, Josh",,1,2,,1,,,,2,1,,,1,,,1,2,,,2,,,3,16
,,,,4545,1758,3236,230,197,749,1244,904,1095,769,1261,465,449,3064,4555,261,220,1025,77,156,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,
,Playerÿÿ,,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,RBÿÿ,IFÿÿ,CLÿÿ,CGÿÿ,FFÿÿ,FAÿÿ,CPÿÿ,UPÿÿ,CMÿÿ,MIÿÿ,1%ÿÿ,BOÿÿ,GAÿÿ,#VALUE!,
BRIS,"Lyons, Jarryd",,24,395,119,279,10,7,,154,32,110,149,79,38,11,327,334,8,13,25,1,18,28.08333333,116.1666667
BRIS,"Rich, Daniel",,24,514,137,110,3,10,,42,191,69,24,65,12,11,130,360,8,,55,,4,26,97.83333333
BRIS,"McCluggage, Hugh",,24,407,123,193,15,22,,89,55,107,82,90,23,23,213,385,3,21,13,7,31,25,99.91666667
BRIS,"Zorko, Dayne",,23,386,122,169,17,18,,140,42,148,104,109,31,40,220,313,1,11,40,3,23,24.13043478,106.6521739
BRIS,"Neale, Lachie",,17,220,66,239,8,6,,70,28,71,107,58,35,17,215,240,,3,6,5,8,27,97.29411765
BRIS,"Bailey, Zac",,24,273,77,167,31,18,,68,25,103,66,98,20,45,183,261,3,13,37,1,17,18.33333333,72.70833333
BRIS,"Robinson, Mitch",,22,297,98,133,7,7,,64,62,90,49,81,27,23,140,279,3,4,32,3,9,19.54545455,77.90909091
BRIS,"Birchall, Grant",,23,307,159,118,2,,,23,87,45,13,48,3,9,75,310,3,,39,2,3,18.47826087,74.52173913
BRIS,"Andrews, Harris",,23,219,181,132,1,1,,29,75,14,2,46,16,25,156,202,46,1,220,1,1,15.26086957,66.43478261
BRIS,"Daniher, Joe",,24,259,117,83,46,32,49,25,8,82,22,70,30,33,141,199,26,43,28,13,11,14.25,70.08333333
BRIS,"McCarthy, Lincoln",,24,183,77,123,36,15,,80,6,61,26,61,27,28,161,149,13,29,35,3,22,12.75,63.33333333
BRIS,"McInerney, Oscar",,23,156,53,145,6,5,672,51,49,59,127,79,39,29,234,84,25,8,92,,3,13.08695652,77.65217391
BRIS,"Starcevich, Brandon",,24,216,90,82,,,,41,68,35,11,56,15,26,102,191,10,,58,3,3,12.41666667,49.29166667
BRIS,"Cameron, Charlie",,24,199,95,62,55,33,,53,5,42,14,48,18,19,106,156,9,54,22,13,15,10.875,64.25
BRIS,"Adams, Marcus",,17,166,92,71,,,,30,60,20,2,47,13,14,107,124,26,,114,,1,13.94117647,59.23529412
BRIS,"Robertson, Deven",,16,110,53,100,4,2,,67,9,27,18,35,10,9,94,121,4,6,23,,5,13.125,60.375
BRIS,"Ah Chee, Callum",,21,103,35,96,7,,,58,11,34,12,39,5,18,98,103,5,5,30,1,8,9.476190476,39.57142857
BRIS,"Lester, Ryan",,17,112,72,86,1,,,32,32,14,1,25,10,12,70,132,9,1,72,,,11.64705882,48.94117647
BRIS,"McStay, Daniel",,19,120,88,71,28,10,8,58,,40,7,23,19,9,94,105,38,31,34,1,11,10.05263158,61.89473684
BRIS,"Hipwood, Eric",,16,118,79,51,26,20,,20,,33,1,42,12,17,66,106,18,33,35,,5,10.5625,56.875
BRIS,"Mathieson, Rhys",,15,84,36,85,2,2,,39,13,27,36,35,8,15,72,96,2,3,2,1,2,11.26666667,44.2
BRIS,"Coleman, Keidean",,18,89,44,73,6,5,,32,11,25,9,25,16,11,78,90,8,5,22,,6,9,38.72222222
BRIS,"Prior, Jaxon",,18,116,45,44,6,4,,24,20,34,16,21,11,5,53,109,3,2,19,,3,8.888888889,39.05555556
BRIS,"Berry, Jarrod",,11,75,24,63,5,2,,34,8,23,17,34,14,15,46,92,,3,8,,4,12.54545455,50.90909091
BRIS,"Fullarton, Tom",,12,52,22,73,3,1,42,21,5,12,17,17,5,5,59,64,5,4,19,,6,10.41666667,41.91666667
BRIS,"Payne, Jack",,10,73,49,46,,,,16,17,5,,15,2,5,40,76,8,,48,,1,11.9,50.9
BRIS,"Gardiner, Darcy",,9,61,34,38,,,,4,17,2,,21,6,11,43,56,8,,27,,1,11,38.88888889
BRIS,"Madden, James",,9,49,25,50,1,,,16,16,11,11,10,8,2,53,47,3,,22,,,11,43.77777778
BRIS,"Cockatoo, Nakia",,7,18,5,24,5,1,,22,,3,2,6,4,4,22,23,1,1,13,,4,6,32.57142857
BRIS,"Berry, Tom",,11,14,6,23,2,1,,20,,8,1,13,2,5,18,19,,2,5,,2,3.363636364,16.90909091
BRIS,"Sharp, Harry",,2,12,3,3,,,,4,3,3,,7,1,2,7,9,,,4,,1,7.5,31
BRIS,"Ballenden, Connor",,1,3,2,1,,,1,,1,,,2,1,2,2,3,,,1,,,4,13
,,,,5406,2228,3033,333,222,772,1426,956,1357,946,1405,481,500,3425,4838,296,296,1200,58,228,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,
,Playerÿÿ,,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,RBÿÿ,IFÿÿ,CLÿÿ,CGÿÿ,FFÿÿ,FAÿÿ,CPÿÿ,UPÿÿ,CMÿÿ,MIÿÿ,1%ÿÿ,BOÿÿ,GAÿÿ,#VALUE!,
CARL,"Walsh, Sam",,22,298,127,358,12,6,,100,28,85,103,80,24,32,252,408,7,7,17,9,15,29.81818182,108.9545455
CARL,"Curnow, Ed",,22,318,106,178,10,3,,80,29,95,68,69,13,23,168,317,2,6,21,3,16,22.54545455,88.86363636
CARL,"Cripps, Patrick",,20,163,63,305,13,11,3,85,11,63,107,98,47,44,246,230,12,3,31,6,11,23.4,81.75
CARL,"Saad, Adam",,22,311,72,113,2,6,,39,96,75,16,49,15,10,117,251,5,1,63,63,9,19.27272727,69.72727273
CARL,"Weitering, Jacob",,22,301,167,60,,1,2,29,139,16,5,53,18,14,139,192,37,,201,5,1,16.40909091,73.59090909
CARL,"Docherty, Sam",,14,252,107,88,,,,31,77,30,20,37,16,4,84,232,7,,29,7,3,24.28571429,98.64285714
CARL,"Newnes, Jack",,19,188,93,124,4,9,,34,28,41,26,42,20,12,98,212,3,7,27,10,2,16.42105263,65.47368421
CARL,"Newman, Nic",,14,199,86,76,,1,,54,63,15,6,34,18,11,79,149,5,,30,9,4,19.64285714,86.35714286
CARL,"Williams, Zac",,14,201,55,63,5,4,,26,48,47,28,35,11,14,91,155,3,4,19,13,6,18.85714286,71.5
CARL,"Fogarty, Lachie",,17,139,57,107,6,6,,62,11,43,24,36,16,11,97,147,2,11,14,,6,14.47058824,63.23529412
CARL,"Dow, Paddy",,17,95,28,147,4,2,,39,14,39,48,43,9,13,109,133,,4,5,7,9,14.23529412,47.94117647
CARL,"Kennedy, Matthew",,13,138,60,101,6,2,,54,13,45,43,37,11,10,93,145,6,1,9,3,1,18.38461538,79.30769231
CARL,"Stocker, Liam",,17,163,58,75,2,1,,37,60,26,8,49,15,10,76,140,2,,40,1,2,14,56.41176471
CARL,"Jones, Liam",,19,178,105,41,,1,,19,56,28,6,49,24,16,110,109,32,,157,,2,11.52631579,51.78947368
CARL,"Plowman, Lachie",,19,160,85,59,1,,,20,39,9,2,37,14,13,64,138,8,,89,2,,11.52631579,48.10526316
CARL,"Silvagni, Jack",,15,130,70,70,9,13,17,38,5,47,12,32,14,12,63,135,7,12,17,4,9,13.33333333,63.6
CARL,"Petrevski-Seton, Sam",,14,134,56,64,1,3,,26,24,14,10,29,7,7,61,132,5,4,18,2,2,14.14285714,56.92857143
CARL,"Murphy, Marc",,15,115,47,76,8,4,,24,8,32,18,21,8,4,57,136,,5,6,1,6,12.73333333,52.13333333
CARL,"McKay, Harry",,19,154,113,31,58,33,6,27,1,26,1,44,27,18,105,87,50,69,26,,6,9.736842105,70.05263158
CARL,"Betts, Eddie",,19,121,42,59,27,16,,31,5,25,10,37,8,14,87,92,6,17,22,3,13,9.473684211,46.05263158
CARL,"Cottrell, Matthew",,14,118,37,47,3,2,,31,25,28,8,41,5,9,51,112,2,3,28,3,2,11.78571429,48.64285714
CARL,"Fisher, Zac",,10,85,23,74,4,8,,24,6,28,17,23,5,9,60,106,3,7,9,8,9,15.9,57.8
CARL,"Gibbons, Michael",,11,98,39,58,8,5,,27,8,32,21,24,6,6,58,101,1,7,16,3,6,14.18181818,61.45454545
CARL,"Pittonet, Marc",,13,67,26,80,5,5,379,28,15,25,52,41,17,24,98,57,4,6,43,,3,11.30769231,70
CARL,"Martin, Jack",,11,94,61,46,8,6,,26,6,26,9,21,9,11,48,93,8,15,12,,10,12.72727273,62.81818182
CARL,"Setterfield, Will",,8,74,35,50,1,6,,17,7,23,22,20,6,10,55,72,1,2,8,1,2,15.5,60.375
CARL,"Williamson, Tom",,11,83,43,41,2,3,,16,21,19,5,21,2,8,30,95,1,3,20,1,2,11.27272727,47
CARL,"De Koning, Tom",,13,81,40,42,7,4,219,27,8,15,30,29,16,15,62,68,13,12,15,,1,9.461538462,60.84615385
CARL,"Owies, Matthew",,13,69,43,46,15,17,,38,5,15,4,16,10,7,47,71,3,20,10,1,3,8.846153846,52
CARL,"Casboult, Levi",,13,77,47,34,8,5,79,25,1,15,10,41,11,17,62,54,17,14,26,,3,8.538461538,48.61538462
CARL,"OBrien, Lochie",,5,49,20,31,1,3,,9,8,17,3,9,4,1,23,57,,,5,3,4,16,63
CARL,"McGovern, Mitch",,5,42,24,14,6,4,,13,3,16,,6,7,,17,39,5,7,3,,1,11.2,65
CARL,"Cuningham, David",,4,26,9,28,3,2,,6,2,14,7,11,2,3,25,32,1,,4,3,5,13.5,49.5
CARL,"Curnow, Charlie",,4,35,16,14,2,5,,6,1,12,,17,1,7,17,34,2,4,3,,3,12.25,50.5
CARL,"Parks, Luke",,6,30,12,15,,,,12,9,7,,12,5,5,17,27,2,,20,,,7.5,32.33333333
CARL,"Honey, Josh",,5,24,13,12,6,3,,6,3,8,,8,2,1,12,22,2,6,5,,4,7.2,39.4
CARL,"Kemp, Brodie",,2,14,8,5,,,,3,4,2,,6,,1,1,18,,,14,1,,9.5,42.5
CARL,"McDonald, Oscar",,3,8,3,1,2,1,,2,,2,,2,3,1,4,5,,1,2,,,3,18.66666667
CARL,"Durdin, Corey",,2,4,2,4,1,,,4,,1,,1,1,,5,4,,,1,,2,4,24.5
,,,,4836,2098,2837,250,201,705,1175,887,1106,749,1260,447,427,2888,4607,264,258,1085,172,183,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,
,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,
,Playerÿÿ,,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,RBÿÿ,IFÿÿ,CLÿÿ,CGÿÿ,FFÿÿ,FAÿÿ,CPÿÿ,UPÿÿ,CMÿÿ,MIÿÿ,1%ÿÿ,BOÿÿ,GAÿÿ,#VALUE!,
COLL,"Crisp, Jack",,22,341,148,253,2,5,,80,84,91,61,92,16,29,201,401,16,1,63,9,13,27,101.7727273
COLL,"Sidebottom, Steele",,21,272,114,228,8,5,,62,28,62,68,81,14,24,166,335,,6,30,10,10,23.80952381,88.42857143
COLL,"Maynard, Brayden",,22,335,121,126,1,,,57,106,41,10,65,16,26,112,300,13,,99,3,2,20.95454545,81.45454545
COLL,"de Goey, Jordan",,20,251,108,169,23,23,,39,24,70,61,61,12,18,140,288,9,31,20,,13,21,84.5
COLL,"Pendlebury, Scott",,18,197,67,220,4,4,,69,24,58,79,59,13,10,180,237,3,2,21,6,20,23.16666667,84.38888889
COLL,"Noble, John",,22,260,114,149,2,,,57,64,37,12,53,23,14,96,312,2,1,12,4,4,18.59090909,74.59090909
COLL,"Mayne, Chris",,17,225,128,179,,,,44,45,12,8,32,12,9,83,293,6,,47,3,1,23.76470588,92.82352941
COLL,"Adams, Taylor",,14,195,46,187,2,2,,78,15,63,100,81,30,16,190,191,3,1,22,4,3,27.28571429,100.3571429
COLL,"Grundy, Brodie",,20,185,72,197,12,6,647,84,28,49,80,92,31,43,218,174,20,9,42,3,5,19.1,106.4
COLL,"Quaynor, Isaac",,20,221,95,140,1,2,,45,79,31,10,52,18,13,116,245,12,,68,3,2,18.05,69.75
COLL,"Daicos, Josh",,17,173,48,149,9,9,,53,25,39,43,47,19,14,103,221,1,1,4,6,3,18.94117647,71.35294118
COLL,"Hoskin-Elliott, Will",,20,213,124,101,13,2,,45,20,57,16,47,6,14,87,230,10,15,30,7,14,15.7,71.85
COLL,"Madgen, Jack",,19,159,88,145,1,2,,19,50,13,8,38,10,6,96,204,8,1,63,1,1,16,58.26315789
COLL,"Roughead, Jordan",,21,190,137,87,,,9,35,69,14,4,36,12,14,90,180,19,,159,3,1,13.19047619,60.66666667
COLL,"Thomas, Josh",,20,148,66,118,12,9,,51,7,44,13,28,19,7,102,175,,10,13,,11,13.3,58.05
COLL,"Mihocek, Brody",,21,178,123,50,34,34,,35,1,57,3,53,16,19,92,127,29,46,19,,7,10.85714286,63.80952381
COLL,"Moore, Darcy",,13,153,107,68,4,1,,12,53,13,1,32,9,16,74,123,25,6,74,3,4,17,73.07692308
COLL,"Cameron, Darcy",,18,147,99,72,22,9,121,32,8,28,29,28,20,15,129,97,40,25,27,,5,12.16666667,69.27777778
COLL,"Elliott, Jamie",,13,127,61,73,25,8,,32,5,41,15,48,10,15,84,116,7,26,21,5,7,15.38461538,73.92307692
COLL,"Brown, Callum",,15,66,41,107,3,6,,44,5,19,13,21,8,5,56,114,2,3,2,7,5,11.53333333,48.53333333
COLL,"Poulter, Caleb",,11,107,55,58,2,5,,22,14,23,7,25,9,6,50,117,1,2,6,,2,15,63.45454545
COLL,"Bianco, Trent",,12,100,53,47,7,5,,21,11,18,7,28,5,4,36,114,2,7,5,1,3,12.25,56.41666667
COLL,"Murphy, Nathan",,15,88,50,56,1,3,,16,20,18,6,19,16,6,43,100,2,4,19,,,9.6,39.8
COLL,"Howe, Jeremy",,8,98,46,41,1,,,19,34,4,,17,6,5,32,86,6,,18,1,1,17.375,73.375
COLL,"Macrae, Finlay",,9,45,26,69,1,,,9,2,17,11,15,2,3,37,76,,2,,,2,12.66666667,42.88888889
COLL,"Ruscoe, Trey",,9,73,27,33,2,,,15,19,7,,17,3,7,29,73,2,2,10,2,2,11.77777778,46.66666667
COLL,"Brown, Tyler",,7,35,14,60,,,,11,6,12,15,12,1,4,39,57,2,,7,1,,13.57142857,42.85714286
COLL,"Henry, Oliver",,10,61,44,30,7,8,,9,2,13,,26,4,1,24,66,7,16,6,,7,9.1,46.2
COLL,"Sier, Brayden",,7,32,16,54,1,,,19,2,11,16,4,3,,45,41,1,1,3,,1,12.28571429,48.14285714
COLL,"McCreery, Beau",,13,52,24,30,11,6,,43,,21,2,28,3,13,27,57,1,7,13,2,2,6.307692308,38.15384615
COLL,"Cox, Mason",,7,41,26,25,8,8,23,7,3,10,4,15,11,5,38,23,10,8,14,,2,9.428571429,50.57142857
COLL,"Keane, Mark",,4,31,23,25,,1,,1,6,5,2,15,,7,18,38,4,1,9,,,14,49
COLL,"Wilson, Tom",,4,25,7,23,,,,7,8,2,3,12,1,5,13,36,1,1,3,,,12,39
COLL,"Ginnivan, Jack",,5,38,18,7,6,3,,4,1,13,2,11,6,3,14,34,1,5,4,,3,9,46.8
COLL,"Rantall, Jay",,5,10,10,19,,,,3,1,3,,6,1,2,7,21,,1,,,,5.8,21
COLL,"Greenwood, Levi",,2,16,3,9,,,,7,3,2,1,7,,4,4,19,,,,,,12.5,45.5
COLL,"Lynch, Max",,2,9,4,14,,,41,5,2,4,3,3,1,2,9,13,,,6,,2,11.5,61.5
COLL,"Kelly, Will",,2,6,4,5,,,,,2,1,,1,2,,4,8,,,3,,,5.5,21
COLL,"Tohill, Anton",,1,4,3,5,,,,,2,1,1,2,1,1,2,7,,,6,,,9,29
,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,
,Playerÿÿ,,GMÿÿ,KIÿÿ,MKÿÿ,HBÿÿ,GLÿÿ,BHÿÿ,HOÿÿ,TKÿÿ,RBÿÿ,IFÿÿ,CLÿÿ,CGÿÿ,FFÿÿ,FAÿÿ,CPÿÿ,UPÿÿ,CMÿÿ,MIÿÿ,1%ÿÿ,BOÿÿ,GAÿÿ,#VALUE!,
ESSE,"Merrett, Zach",,23,361,97,364,4,7,,112,54,127,86,97,41,26,207,516,1,4,42,12,20,31.52173913,110.6086957
ESSE,"Parish, Darcy",,23,341,96,360,10,8,,90,30,137,175,81,13,10,309,405,1,7,27,2,21,30.47826087,106.173913
ESSE,"Hind, Nick",,22,365,114,127,4,2,,45,81,72,19,65,19,19,128,363,6,2,38,40,13,22.36363636,84.5
ESSE,"Heppell, Dyson",,19,276,132,194,2,1,,47,73,44,13,43,15,12,119,331,7,2,49,2,6,24.73684211,94.31578947
ESSE,"Ridley, Jordan",,22,340,131,124,,,,29,138,20,1,39,16,13,110,249,26,,131,7,,21.09090909,79.72727273
ESSE,"Redman, Mason",,22,245,101,142,6,2,,44,87,36,7,46,11,17,96,243,10,,41,21,3,17.59090909,68
ESSE,"Langford, Kyle",,17,202,98,152,13,3,2,57,18,54,34,55,11,18,112,244,9,13,22,4,7,20.82352941,86.58823529
ESSE,"Snelling, Will",,20,155,74,199,12,7,,99,24,47,31,47,21,9,110,245,1,16,25,1,9,17.7,77.7
ESSE,"McGrath, Andrew",,15,171,43,167,2,4,,66,24,39,58,41,17,11,137,204,,,27,2,6,22.53333333,82.66666667
ESSE,"Laverde, Jayden",,23,202,134,116,1,,,35,75,14,4,51,17,25,101,216,23,,87,1,,13.82608696,57.73913043
ESSE,"Stringer, Jake",,19,210,55,102,41,18,,76,7,90,84,64,30,23,162,153,8,27,24,7,13,16.42105263,80.42105263
ESSE,"Smith, Devon",,20,155,68,128,16,19,,78,5,52,21,53,11,23,98,189,4,19,22,12,13,14.15,64.7
ESSE,"Cox, Nik",,22,152,81,107,9,9,12,47,19,37,20,53,16,23,92,174,8,8,27,9,1,11.77272727,51.04545455
ESSE,"Wright, Peter",,21,146,90,100,29,14,208,37,18,27,22,51,31,23,130,126,33,34,82,2,7,11.71428571,67.33333333
ESSE,"Perkins, Archie",,21,116,58,122,9,14,,42,2,54,11,41,13,13,86,155,5,9,8,5,9,11.33333333,46.47619048
